c|packed
Aruba|all~4,2,0,0,0 08-15~2,2,0,0,0 2026-06M~1,0,0,0,0 06-01~1,0,0,0,0 2026-07~1,0,0,0,0 2026-08~2,2,0,0,0 2026-06~1,0,0,0,0 07-18~1,0,0,0,0
Australia|08-02~175,66,2,1,1 07-02~1097,103,8,4,1 06-22~479,9,4,4,1 08-13~111,24,3,0,0 05-11~53,8,0,0,0 09-01~129,71,2,2,0 2026-05M~120,9,0,0,0 08-17~136,34,3,0,0 08-19~36,3,3,1,1 05-29~187,10,5,1,0 07-08~934,66,5,3,0 05-06~26,3,0,0,0 06-27~1161,15,5,4,0 06-11~878,31,9,5,2 07-12~944,72,10,4,1 06-19~571,18,9,4,1 2026-08M~323,128,5,2,1 06-12~614,8,3,1,0 05-14~49,10,6,2,0 07-22~410,23,5,1,1 05-08~39,6,0,0,0 08-22~35,5,3,1,0 08-25~26,5,2,0,0 2026-07~13800,1326,159,84,13 08-26~30,1,0,0,0 07-13~789,45,5,1,0 08-03~133,34,1,0,0 06-02~194,8,2,2,0 08-30~204,99,4,0,0 05-28~278,21,13,3,0 05-24~115,13,7,1,0 08-23~34,2,1,0,0 07-25~145,35,5,4,1 05-02~67,5,0,0,0 07-14~704,29,6,3,0 08-16~307,122,5,4,0 08-08~181,91,3,2,0 08-18~60,3,1,0,0 06-06~121,11,8,0,0 07-04~370,8,4,3,0 05-19~82,16,8,4,0 06-09~218,12,6,3,0 2026-09M~221,120,4,3,0 06-18~431,10,4,1,0 07-24~103,28,2,1,0 2026-06M~301,14,6,4,0 07-09~997,61,6,3,0 08-07~153,60,3,1,0 06-14~741,11,6,3,1 07-05~405,12,2,1,0 05-30~141,15,9,6,1 07-30~112,25,3,2,0 07-20~524,43,3,1,0 05-01~65,4,0,0,0 07-10~852,76,14,9,1 05-25~84,16,9,4,0 05-09~44,11,0,0,0 all~30485,3324,540,269,41 08-10~231,113,4,0,0 07-21~483,36,4,1,0 05-20~92,21,17,7,0 05-22~103,11,8,3,0 07-06~918,55,7,5,0 05-27~69,12,6,3,1 05-10~31,7,0,0,0 06-26~1071,22,10,3,0 07-19~636,71,7,3,1 06-17~372,10,7,2,0 06-01~137,6,4,2,0 08-27~52,17,4,1,1 05-04~38,0,0,0,0 06-25~953,23,11,5,0 08-20~29,2,1,0,0 08-04~202,65,0,0,0 07-15~759,50,7,2,0 06-21~594,15,7,4,0 07-27~125,32,3,2,1 05-12~34,11,0,0,0 09-02~111,49,2,1,0 06-29~695,14,5,2,0 07-18~529,53,4,1,0 05-15~44,8,6,3,0 06-15~500,6,3,1,0 05-03~64,7,0,0,0 07-31~117,34,2,1,0 06-05~126,7,4,1,1 06-28~1010,22,8,3,0 08-06~66,9,2,0,0 06-07~164,12,7,4,1 08-29~166,87,2,0,0 07-01~454,15,5,2,0 08-05~214,53,1,0,0 07-29~134,35,5,2,2 08-14~105,23,4,0,0 08-09~228,98,0,0,0 07-17~542,59,4,2,0 2026-09~221,120,4,3,0 06-13~650,14,5,1,1 08-01~169,62,3,1,0 07-07~1003,61,5,1,0 2026-06~13016,387,174,85,14 05-13~62,17,1,0,0 06-04~144,8,5,0,0 06-03~214,8,2,0,0 07-16~614,42,4,3,1 08-28~86,38,1,0,0 08-12~75,5,3,2,0 06-23~665,14,9,3,2 06-08~135,11,5,3,0 05-31~190,10,5,1,0 05-05~42,6,0,0,0 05-17~96,14,9,5,1 06-20~680,10,4,1,0 07-03~1014,59,4,2,1 06-24~592,10,3,3,0 07-11~919,79,11,9,0 08-24~30,0,0,0,0 2026-08~3051,1254,71,25,5 05-18~77,15,11,6,0 07-26~142,43,2,1,0 05-07~30,5,0,0,0 2026-07M~1481,118,13,6,1 08-11~179,33,1,0,0 05-21~83,9,2,0,0 06-10~413,20,11,3,0 06-30~641,19,3,2,0 08-31~219,102,2,1,0 08-21~49,8,4,4,0 05-23~77,10,7,6,0 07-23~52,5,4,2,0 06-16~413,16,4,2,0 08-15~186,56,4,2,1 05-26~29,5,4,3,0 2026-05~1611,291,139,67,7 07-28~105,21,3,1,0 05-16~47,9,6,2,0 sr~30725,25458 se~50051,344,4,26.2,2.45
Austria|07-26~40,4,1,0,0 06-04~66,19,13,2,1 2026-09M~93,22,3,1,0 06-23~323,6,3,1,1 06-17~240,2,2,1,0 05-11~32,8,0,0,0 2026-08M~1165,259,4,1,0 07-02~114,5,4,4,2 06-05~51,4,3,2,0 06-13~264,6,2,0,0 06-16~170,5,4,2,0 06-02~50,7,4,4,2 05-22~44,4,3,1,1 05-06~52,3,0,0,0 08-27~103,25,5,5,5 06-22~333,12,10,2,1 07-17~83,7,4,2,1 08-20~1050,374,3,2,0 07-25~51,3,3,2,1 05-25~36,3,1,0,0 05-26~28,2,1,1,0 07-20~60,3,1,1,1 07-29~513,136,2,2,0 07-19~71,7,5,4,3 06-01~45,5,1,0,0 08-25~145,40,5,2,0 07-23~53,7,5,2,1 05-02~54,10,0,0,0 05-29~59,3,3,0,0 08-17~1269,534,1,1,0 05-17~29,2,2,0,0 07-18~94,7,4,1,1 08-04~641,92,3,2,2 08-07~736,129,1,1,1 06-21~323,9,5,1,0 06-07~66,7,5,1,0 05-10~46,10,0,0,0 05-01~43,6,0,0,0 08-28~102,25,3,2,2 07-08~85,6,5,3,3 06-10~160,10,5,2,1 07-12~77,2,1,1,0 08-12~406,66,7,6,5 05-21~31,3,2,2,1 07-07~102,2,1,0,0 06-20~326,4,2,2,1 05-16~40,8,5,2,0 2026-06~4547,222,125,63,23 05-09~59,5,0,0,0 08-08~662,115,2,2,1 08-01~620,161,3,1,0 08-26~113,37,9,8,6 all~19114,4347,350,226,125 06-28~266,9,5,4,0 07-30~541,148,1,1,1 05-20~37,4,3,2,2 08-14~389,117,4,4,3 07-28~527,159,7,5,4 06-30~122,10,3,2,1 2026-08~11254,3300,94,76,43 06-25~292,8,2,0,0 08-22~218,59,3,3,0 08-24~167,44,9,8,3 08-30~80,20,4,3,0 05-13~36,5,2,0,0 08-06~543,127,0,0,0 09-02~63,12,2,0,0 08-16~1254,501,3,3,1 06-15~294,5,3,2,0 05-14~35,2,1,0,0 05-04~40,2,0,0,0 06-26~295,6,5,4,4 08-03~573,133,0,0,0 2026-05M~81,15,0,0,0 07-11~81,5,4,3,2 06-09~109,9,2,2,0 06-08~46,4,1,1,1 07-10~65,4,1,1,1 06-11~224,15,6,3,2 07-09~81,5,3,2,2 08-21~855,308,1,0,0 05-07~45,3,0,0,0 06-12~256,6,2,0,0 08-31~74,20,3,3,3 2026-09~93,22,3,1,0 06-06~52,11,10,3,1 08-29~97,17,1,0,0 07-16~58,3,3,2,2 05-05~42,1,0,0,0 06-27~307,8,1,0,0 07-15~91,7,5,3,1 07-14~75,7,3,1,1 06-24~271,4,2,1,1 08-02~576,101,1,0,0 2026-07~3276,755,92,65,49 05-19~28,3,1,0,0 05-31~46,4,2,1,1 06-03~50,7,4,2,0 07-22~63,4,2,2,2 05-28~72,7,4,2,0 08-09~644,89,2,1,1 05-23~39,3,0,0,0 07-24~47,2,1,0,0 05-24~38,5,3,3,2 05-08~52,3,0,0,0 08-10~636,117,2,1,0 06-18~242,8,5,3,3 09-01~56,12,1,1,0 08-19~947,384,3,2,2 05-15~42,5,3,1,1 08-05~622,127,4,3,2 05-03~48,5,0,0,0 07-03~81,5,3,3,3 07-06~88,1,1,1,0 05-18~23,0,0,0,0 2026-05~567,121,42,20,10 07-13~80,3,3,2,1 07-31~567,153,1,1,1 06-29~202,2,1,1,1 07-27~335,67,4,2,2 07-21~55,5,4,1,1 07-04~113,2,1,1,1 06-19~219,11,6,3,0 07-01~114,5,4,3,2 07-05~119,9,6,6,6 08-18~803,297,1,1,0 08-15~1143,434,4,3,1 08-11~671,118,0,0,0 08-13~97,14,3,3,3 05-12~38,5,0,0,0 06-14~362,10,5,5,1 08-23~200,58,4,3,0 2026-07M~196,10,8,7,4 05-27~43,8,3,1,0 2026-06M~78,12,6,4,2 05-30~47,4,4,2,1 sr~19684,14919 se~39688,567,14,26.5,2.91
Azerbaijan|07-10~4,2,2,1,0 08-07~2,1,0,0,0 08-14~2,2,2,1,0 07-03~4,0,0,0,0 08-25~2,0,0,0,0 06-28~2,0,0,0,0 05-26~1,0,0,0,0 07-21~3,0,0,0,0 06-25~1,1,1,1,0 2026-07~18,8,6,5,3 08-24~2,0,0,0,0 05-22~1,0,0,0,0 06-29~2,1,1,1,0 05-27~1,1,1,1,0 06-15~1,0,0,0,0 05-03~1,0,0,0,0 07-02~4,3,3,3,3 08-15~4,1,0,0,0 07-18~2,0,0,0,0 07-13~2,0,0,0,0 08-04~1,1,0,0,0 2026-08M~12,3,2,0,0 06-09~1,0,0,0,0 08-01~6,2,1,0,0 07-16~2,0,0,0,0 06-02~1,1,1,1,0 08-08~2,1,1,0,0 06-30~4,0,0,0,0 08-02~6,1,1,0,0 07-15~2,0,0,0,0 05-08~1,0,0,0,0 06-06~2,0,0,0,0 07-27~2,0,0,0,0 08-30~1,1,0,0,0 08-27~2,0,0,0,0 07-30~1,0,0,0,0 07-01~2,0,0,0,0 08-16~1,1,1,0,0 06-03~3,0,0,0,0 all~107,39,25,16,4 07-20~2,0,0,0,0 08-28~1,0,0,0,0 05-21~1,0,0,0,0 06-20~1,1,1,1,0 08-17~1,1,0,0,0 07-26~1,0,0,0,0 08-20~2,0,0,0,0 06-14~3,0,0,0,0 2026-05~13,4,2,2,0 07-08~2,0,0,0,0 06-01~1,0,0,0,0 05-13~1,0,0,0,0 08-09~2,0,0,0,0 07-05~2,0,0,0,0 08-12~2,1,0,0,0 07-23~4,0,0,0,0 05-24~1,0,0,0,0 05-14~3,1,1,1,0 2026-08~56,23,14,5,0 07-19~3,0,0,0,0 07-24~1,0,0,0,0 07-06~1,0,0,0,0 08-11~3,1,0,0,0 05-20~1,0,0,0,0 05-23~1,0,0,0,0 08-19~2,1,1,1,0 08-10~4,1,1,0,0 07-07~1,0,0,0,0 08-23~1,0,0,0,0 08-13~1,1,1,1,0 07-04~4,0,0,0,0 05-15~3,0,0,0,0 05-12~1,0,0,0,0 07-29~2,1,0,0,0 06-12~2,0,0,0,0 06-10~4,1,0,0,0 07-14~1,0,0,0,0 08-03~2,0,0,0,0 06-04~4,0,0,0,0 08-05~1,1,0,0,0 07-12~2,0,0,0,0 05-05~2,0,0,0,0 07-31~1,0,0,0,0 08-26~3,1,1,0,0 08-21~4,2,1,0,0 05-29~1,0,0,0,0 06-27~2,0,0,0,0 08-29~1,1,1,0,0 07-25~1,0,0,0,0 05-18~2,0,0,0,0 06-16~3,0,0,0,0 08-18~2,2,1,0,0 2026-06M~2,1,1,1,0 08-22~5,0,0,0,0 06-24~1,0,0,0,0 05-10~1,1,0,0,0 06-21~1,0,0,0,0 07-28~4,0,0,0,0 07-09~3,0,0,0,0 08-06~1,1,1,1,0 07-11~3,1,0,0,0 07-17~4,0,0,0,0 06-23~2,0,0,0,0 2026-06~31,5,4,4,0 06-19~2,0,0,0,0 05-17~1,0,0,0,0 06-13~2,0,0,0,0 07-22~2,1,1,0,0 05-16~2,0,0,0,0 2026-07M~5,3,3,3,3 06-08~3,0,0,0,0 06-11~2,0,0,0,0 05-19~4,1,0,0,0 06-17~1,0,0,0,0 se~366,2044,149,13.4,39.7
Bahamas|2026-08~4,1,0,0,0 2026-06~4,0,0,0,0 2026-09~1,0,0,0,0 05-06~1,0,0,0,0 06-19~1,0,0,0,0 06-10~1,0,0,0,0 08-14~1,1,0,0,0 08-03~1,0,0,0,0 09-02~1,0,0,0,0 06-11~2,0,0,0,0 2026-09M~1,0,0,0,0 05-05~2,1,0,0,0 2026-05~2,1,0,0,0 08-24~1,0,0,0,0 2026-07~1,0,0,0,0 05-07~1,0,0,0,0 07-22~1,0,0,0,0 all~12,2,0,0,0 08-15~1,0,0,0,0
Bahrain|08-15~1,0,0,0,0 2026-06~17,1,1,1,0 05-16~2,0,0,0,0 08-08~3,0,0,0,0 05-21~1,0,0,0,0 06-05~1,0,0,0,0 08-14~1,0,0,0,0 2026-05M~2,0,0,0,0 05-07~2,0,0,0,0 05-23~1,0,0,0,0 06-12~5,0,0,0,0 07-28~3,0,0,0,0 08-02~1,0,0,0,0 05-02~2,0,0,0,0 2026-08M~3,0,0,0,0 06-02~2,0,0,0,0 05-20~2,0,0,0,0 05-31~1,0,0,0,0 05-12~2,0,0,0,0 06-13~2,0,0,0,0 05-11~2,0,0,0,0 08-06~2,0,0,0,0 05-18~2,0,0,0,0 06-07~2,1,1,1,0 05-26~3,1,1,1,0 05-03~2,0,0,0,0 06-11~2,0,0,0,0 06-09~2,0,0,0,0 07-31~1,0,0,0,0 07-26~1,1,1,0,0 06-22~1,0,0,0,0 06-21~1,0,0,0,0 07-12~1,0,0,0,0 08-04~1,0,0,0,0 05-25~2,0,0,0,0 05-14~2,0,0,0,0 2026-05~3,1,1,1,0 05-27~2,0,0,0,0 06-10~2,0,0,0,0 05-28~1,0,0,0,0 07-29~3,1,1,1,0 05-30~1,0,0,0,0 all~48,6,6,4,0 06-16~3,0,0,0,0 06-06~1,0,0,0,0 07-10~2,0,0,0,0 06-08~2,0,0,0,0 06-01~1,0,0,0,0 05-04~2,0,0,0,0 05-13~2,0,0,0,0 05-05~1,0,0,0,0 08-24~1,0,0,0,0 2026-06M~2,0,0,0,0 08-07~1,0,0,0,0 05-15~1,0,0,0,0 05-10~2,0,0,0,0 07-24~2,0,0,0,0 2026-07M~1,0,0,0,0 08-03~1,0,0,0,0 06-20~4,0,0,0,0 06-15~1,0,0,0,0 05-22~2,0,0,0,0 05-24~2,0,0,0,0 08-16~2,0,0,0,0 08-11~1,0,0,0,0 05-09~2,0,0,0,0 07-01~1,0,0,0,0 06-19~2,0,0,0,0 08-19~1,0,0,0,0 08-05~2,1,1,0,0 05-19~2,0,0,0,0 2026-07~15,3,3,2,0 08-12~1,0,0,0,0 07-20~1,0,0,0,0 06-23~1,0,0,0,0 08-01~2,0,0,0,0 07-30~2,0,0,0,0 2026-08~19,1,1,0,0 06-24~2,0,0,0,0 06-14~1,0,0,0,0 06-03~2,0,0,0,0 05-01~2,0,0,0,0 06-04~2,0,0,0,0 05-08~1,0,0,0,0 08-21~2,0,0,0,0 08-27~1,0,0,0,0 05-06~2,0,0,0,0 07-23~1,1,1,1,0 06-26~2,0,0,0,0 08-20~1,0,0,0,0 06-17~4,0,0,0,0 se~231,428,50,12.6,3.7
Bangladesh|06-12~2,0,0,0,0 08-20~5,0,0,0,0 06-01~1,0,0,0,0 06-30~1,0,0,0,0 08-30~3,0,0,0,0 08-21~6,0,0,0,0 2026-08~51,6,0,0,0 08-26~4,0,0,0,0 08-18~8,1,0,0,0 06-11~3,0,0,0,0 07-08~1,0,0,0,0 06-14~1,0,0,0,0 08-17~5,0,0,0,0 06-08~1,0,0,0,0 05-06~2,0,0,0,0 08-25~4,1,0,0,0 06-29~1,0,0,0,0 05-27~1,0,0,0,0 05-19~1,0,0,0,0 05-30~1,1,0,0,0 08-13~1,0,0,0,0 08-24~4,1,0,0,0 06-03~1,0,0,0,0 08-23~5,0,0,0,0 08-16~5,0,0,0,0 06-22~1,0,0,0,0 07-22~7,0,0,0,0 06-02~1,0,0,0,0 06-24~1,0,0,0,0 07-16~1,0,0,0,0 05-04~1,0,0,0,0 08-14~3,1,0,0,0 2026-09M~10,0,0,0,0 07-18~2,0,0,0,0 05-15~3,0,0,0,0 05-21~1,0,0,0,0 2026-06M~1,0,0,0,0 07-02~1,0,0,0,0 08-15~4,1,0,0,0 08-22~8,0,0,0,0 08-29~4,1,0,0,0 08-28~4,0,0,0,0 06-19~1,0,0,0,0 07-19~3,0,0,0,0 08-09~3,0,0,0,0 05-25~1,0,0,0,0 08-05~2,0,0,0,0 05-22~1,0,0,0,0 08-27~3,0,0,0,0 06-16~1,0,0,0,0 09-01~7,0,0,0,0 08-12~1,0,0,0,0 08-19~5,0,0,0,0 2026-07M~1,0,0,0,0 06-10~1,0,0,0,0 07-09~1,0,0,0,0 2026-06~14,0,0,0,0 07-25~2,0,0,0,0 05-29~1,0,0,0,0 07-14~1,0,0,0,0 08-03~1,0,0,0,0 all~111,7,0,0,0 05-20~1,0,0,0,0 05-31~1,0,0,0,0 08-31~2,0,0,0,0 07-26~10,0,0,0,0 07-23~3,0,0,0,0 05-05~1,0,0,0,0 06-13~1,0,0,0,0 06-15~2,0,0,0,0 09-02~5,0,0,0,0 07-21~4,0,0,0,0 07-24~1,0,0,0,0 2026-07~36,0,0,0,0 08-06~6,0,0,0,0 07-11~1,0,0,0,0 2026-05~11,1,0,0,0 06-20~1,0,0,0,0 07-29~1,0,0,0,0 2026-09~10,0,0,0,0 07-13~1,0,0,0,0 08-04~1,0,0,0,0 2026-08M~1,0,0,0,0 08-02~1,0,0,0,0 se~499,377,5,22.2,1.47
Barbados|2026-06~1,1,0,0,0 2026-08~2,1,0,0,0 07-10~1,0,0,0,0 2026-07~1,0,0,0,0 all~4,2,0,0,0 08-18~1,0,0,0,0 08-05~1,1,0,0,0 06-26~1,1,0,0,0
Belarus|05-01~1,1,0,0,0 08-28~1,1,0,0,0 06-03~1,0,0,0,0 06-06~2,1,0,0,0 2026-06~12,7,2,1,0 06-12~1,0,0,0,0 06-26~2,2,1,1,0 2026-08M~1,0,0,0,0 07-30~1,1,0,0,0 06-21~2,0,0,0,0 2026-07M~1,0,0,0,0 05-12~3,2,0,0,0 08-07~1,0,0,0,0 08-14~1,0,0,0,0 06-17~1,1,1,0,0 08-27~1,1,0,0,0 08-02~1,0,0,0,0 07-28~2,1,0,0,0 06-30~1,0,0,0,0 05-19~1,0,0,0,0 05-25~1,0,0,0,0 08-11~2,0,0,0,0 07-20~1,0,0,0,0 08-04~1,0,0,0,0 08-16~1,1,1,0,0 06-23~1,0,0,0,0 06-05~1,0,0,0,0 2026-07~10,3,0,0,0 2026-09M~1,0,0,0,0 07-01~1,0,0,0,0 06-01~3,2,0,0,0 06-02~1,1,0,0,0 2026-08~9,4,1,0,0 07-06~1,0,0,0,0 2026-06M~3,3,0,0,0 2026-09~1,0,0,0,0 07-05~1,0,0,0,0 09-02~1,0,0,0,0 05-09~1,0,0,0,0 05-23~1,1,1,1,1 2026-05M~2,1,0,0,0 06-13~1,0,0,0,0 08-19~1,1,0,0,0 all~40,19,4,3,2 05-18~2,1,0,0,0 08-09~1,0,0,0,0 05-13~1,1,0,0,0 07-27~1,0,0,0,0 2026-05~12,6,1,1,1 07-31~1,0,0,0,0 06-09~1,0,0,0,0 07-15~1,1,0,0,0 08-01~1,0,0,0,0 05-22~1,0,0,0,0 05-02~1,0,0,0,0
Belgium|06-04~1,0,0,0,0 2026-05~1,0,0,0,0 06-19~2,0,0,0,0 08-07~1,0,0,0,0 06-14~2,0,0,0,0 all~13,0,0,0,0 2026-07~2,0,0,0,0 2026-06~8,0,0,0,0 06-10~1,0,0,0,0 05-14~1,0,0,0,0 2026-08~2,0,0,0,0 08-30~1,0,0,0,0 07-28~2,0,0,0,0 06-12~1,0,0,0,0 06-13~1,0,0,0,0
Belize|2026-07~1,0,0,0,0 all~2,0,0,0,0 2026-06~1,0,0,0,0 07-17~1,0,0,0,0 06-27~1,0,0,0,0
Benin|07-29~9,2,2,2,0 08-06~1,1,0,0,0 2026-05~5,0,0,0,0 2026-07M~2,1,0,0,0 2026-07~13,5,3,2,0 08-31~1,1,0,0,0 08-15~1,0,0,0,0 05-05~1,0,0,0,0 06-09~1,1,1,1,0 06-13~1,0,0,0,0 05-03~1,0,0,0,0 05-11~1,0,0,0,0 06-27~5,2,1,1,0 06-30~1,1,0,0,0 2026-08~4,2,0,0,0 07-10~2,2,0,0,0 06-20~1,1,1,0,0 2026-06~11,6,4,2,0 05-07~1,0,0,0,0 all~32,12,7,4,0 08-20~1,0,0,0,0 06-25~1,0,0,0,0 06-26~1,1,1,0,0 07-15~1,1,1,0,0 05-06~1,0,0,0,0 06-29~1,0,0,0,0 05-04~1,0,0,0,0 05-21~1,0,0,0,0 06-28~2,0,0,0,0 07-01~2,1,0,0,0
Bermuda|2026-05~1,0,0,0,0 2026-07~1,0,0,0,0 07-18~1,0,0,0,0 07-19~1,0,0,0,0 05-02~1,0,0,0,0 all~2,0,0,0,0 2026-05M~1,0,0,0,0
Bhutan|05-22~1,0,0,0,0 05-01~1,0,0,0,0 08-27~1,0,0,0,0 07-13~1,0,0,0,0 08-13~1,0,0,0,0 06-30~1,0,0,0,0 07-28~1,0,0,0,0 07-24~1,0,0,0,0 08-01~1,0,0,0,0 05-18~1,0,0,0,0 08-17~1,0,0,0,0 07-12~1,0,0,0,0 08-12~1,0,0,0,0 07-02~1,0,0,0,0 08-06~1,0,0,0,0 05-07~1,0,0,0,0 06-23~1,0,0,0,0 08-26~1,0,0,0,0 05-29~1,0,0,0,0 07-26~1,0,0,0,0 06-24~1,0,0,0,0 2026-09~2,0,0,0,0 08-05~1,0,0,0,0 06-21~1,0,0,0,0 07-07~1,0,0,0,0 2026-05~2,0,0,0,0 06-13~1,0,0,0,0 06-29~1,0,0,0,0 07-31~1,0,0,0,0 08-04~1,0,0,0,0 06-03~1,0,0,0,0 08-25~1,0,0,0,0 08-03~1,0,0,0,0 08-14~1,0,0,0,0 06-16~1,0,0,0,0 07-17~1,0,0,0,0 05-06~1,0,0,0,0 08-24~1,0,0,0,0 07-14~1,0,0,0,0 05-10~1,0,0,0,0 06-22~1,0,0,0,0 05-31~1,0,0,0,0 05-13~1,0,0,0,0 07-23~1,0,0,0,0 06-10~2,0,0,0,0 07-08~1,0,0,0,0 08-21~1,0,0,0,0 06-26~2,0,0,0,0 06-20~1,0,0,0,0 05-28~1,0,0,0,0 05-16~1,0,0,0,0 all~10,0,0,0,0 05-05~1,0,0,0,0 06-02~1,0,0,0,0 07-06~1,0,0,0,0 06-12~1,0,0,0,0 05-14~1,0,0,0,0 08-11~1,0,0,0,0 05-23~1,0,0,0,0 05-17~1,0,0,0,0 07-30~1,0,0,0,0 07-29~3,0,0,0,0 2026-06M~1,0,0,0,0 06-09~1,0,0,0,0 07-11~1,0,0,0,0 08-15~1,0,0,0,0 05-11~1,0,0,0,0 06-25~1,0,0,0,0 07-22~1,0,0,0,0 08-16~1,0,0,0,0 05-20~1,0,0,0,0 08-02~1,0,0,0,0 08-29~1,0,0,0,0 08-28~1,0,0,0,0 05-12~1,0,0,0,0 08-23~1,0,0,0,0 05-02~1,0,0,0,0 05-15~1,0,0,0,0 08-09~1,0,0,0,0 2026-05M~1,0,0,0,0 08-08~1,0,0,0,0 07-01~2,0,0,0,0 06-19~1,0,0,0,0 05-24~1,0,0,0,0 06-06~1,0,0,0,0 08-31~1,0,0,0,0 07-16~1,0,0,0,0 06-18~1,0,0,0,0 08-07~1,0,0,0,0 07-10~1,0,0,0,0 06-08~1,0,0,0,0 07-15~1,0,0,0,0 05-21~1,0,0,0,0 2026-07M~2,0,0,0,0 2026-07~4,0,0,0,0 05-08~1,0,0,0,0 07-27~1,0,0,0,0 2026-08~1,0,0,0,0 07-21~1,0,0,0,0 06-14~1,0,0,0,0 05-04~1,0,0,0,0 2026-08M~1,0,0,0,0 07-05~1,0,0,0,0 06-01~1,0,0,0,0 07-19~1,0,0,0,0 06-04~1,0,0,0,0 05-25~1,0,0,0,0 09-02~2,0,0,0,0 08-18~1,0,0,0,0 2026-06~6,0,0,0,0 05-09~1,0,0,0,0 08-19~1,0,0,0,0 07-04~1,0,0,0,0 05-19~1,0,0,0,0 07-09~1,0,0,0,0 06-11~1,0,0,0,0 06-15~1,0,0,0,0 08-30~1,0,0,0,0 06-17~1,0,0,0,0 08-10~1,0,0,0,0 06-27~2,0,0,0,0 05-03~1,0,0,0,0 05-26~1,0,0,0,0 05-30~1,0,0,0,0 2026-09M~2,0,0,0,0 05-27~2,0,0,0,0
Bolivia|05-01~1,0,0,0,0 08-19~6,0,0,0,0 09-01~7,0,0,0,0 05-28~3,0,0,0,0 05-25~1,0,0,0,0 08-23~4,1,1,0,0 05-29~3,1,1,0,0 07-13~5,1,1,0,0 07-05~3,0,0,0,0 07-21~8,4,3,2,1 05-09~4,2,0,0,0 2026-05~21,15,6,3,1 08-12~80,26,4,3,0 05-30~3,0,0,0,0 07-02~2,0,0,0,0 07-01~7,1,1,1,0 06-19~5,0,0,0,0 05-07~1,0,0,0,0 06-12~3,1,1,1,0 08-16~5,1,0,0,0 05-15~2,1,1,1,0 06-24~5,0,0,0,0 05-04~1,0,0,0,0 07-25~8,3,0,0,0 06-16~2,0,0,0,0 07-30~8,1,0,0,0 06-28~3,0,0,0,0 07-29~25,9,5,2,0 08-11~45,0,0,0,0 06-13~5,1,1,1,1 08-24~5,0,0,0,0 07-26~7,3,1,0,0 07-06~1,0,0,0,0 05-20~1,0,0,0,0 06-29~3,0,0,0,0 07-31~12,1,0,0,0 07-12~3,1,1,0,0 06-20~4,1,1,1,0 08-21~5,1,1,0,0 08-28~6,1,1,0,0 05-17~3,1,0,0,0 07-09~1,0,0,0,0 06-11~8,0,0,0,0 07-07~2,0,0,0,0 08-03~17,4,3,1,0 08-26~5,1,1,0,0 2026-09~10,1,1,0,0 06-03~2,0,0,0,0 08-14~3,1,0,0,0 08-13~45,19,5,3,1 06-04~1,0,0,0,0 08-18~8,2,1,1,1 08-04~16,7,2,2,0 08-07~38,5,3,1,1 05-08~2,1,0,0,0 2026-07M~8,1,1,1,0 07-23~7,3,1,0,0 05-19~2,0,0,0,0 06-22~4,0,0,0,0 07-20~9,3,1,0,0 08-17~10,4,2,1,1 06-10~3,0,0,0,0 07-08~4,0,0,0,0 05-12~6,3,0,0,0 05-13~2,0,0,0,0 05-11~3,0,0,0,0 2026-08~483,95,36,26,17 08-29~7,3,3,0,0 05-31~2,0,0,0,0 08-30~2,0,0,0,0 07-22~4,0,0,0,0 2026-08M~19,6,2,2,1 05-18~4,1,1,1,0 08-20~6,2,2,0,0 08-27~1,0,0,0,0 all~623,168,75,51,23 06-05~1,0,0,0,0 06-02~2,0,0,0,0 06-26~6,2,0,0,0 08-08~160,1,0,0,0 07-14~5,1,1,0,0 08-09~25,2,0,0,0 07-16~7,2,0,0,0 05-14~3,0,0,0,0 06-21~3,0,0,0,0 05-05~1,0,0,0,0 06-17~5,0,0,0,0 08-10~105,4,1,0,0 09-02~6,1,1,0,0 07-04~2,0,0,0,0 2026-06M~3,0,0,0,0 06-25~7,4,3,2,0 08-06~12,3,0,0,0 2026-06~45,15,10,8,1 06-14~6,1,1,1,0 05-03~2,1,0,0,0 2026-07~110,49,23,10,2 07-03~1,0,0,0,0 06-30~7,3,1,1,0 07-28~21,12,7,4,0 05-27~3,0,0,0,0 07-27~4,2,0,0,0 07-10~2,0,0,0,0 06-08~1,0,0,0,0 06-23~3,0,0,0,0 07-24~4,2,0,0,0 05-10~5,1,0,0,0 05-24~1,0,0,0,0 07-18~6,0,0,0,0 08-05~5,1,0,0,0 05-21~1,0,0,0,0 06-27~1,0,0,0,0 05-16~2,1,1,0,0 08-02~12,5,1,1,1 2026-09M~10,1,1,0,0 05-06~2,1,0,0,0 05-23~3,1,1,0,0 06-15~2,0,0,0,0 08-25~7,3,2,0,0 05-26~2,1,1,0,0 05-22~2,0,0,0,0 08-22~4,0,0,0,0 08-01~9,1,1,1,0 06-07~1,0,0,0,0 06-01~2,0,0,0,0 07-19~5,0,0,0,0 07-15~6,1,1,0,0 2026-05M~1,0,0,0,0 08-15~9,1,1,1,1 06-06~1,0,0,0,0 06-18~6,2,1,1,0 07-17~7,2,0,0,0 06-09~3,1,1,0,0 07-11~5,0,0,0,0 08-31~5,1,1,1,0 sr~645,130 se~1242,709,65,20.9,3.61
Bonaire, Sint Eustatius and Saba|08-11~1,0,0,0,0 all~1,0,0,0,0 2026-08~1,0,0,0,0
